2014-10-17 12:01:06	18:87:96:64:E6:B9	-68	8000395
2014-10-17 12:01:12	18:87:96:64:E6:B9	-54	8000394
2014-10-17 12:01:17	18:87:96:64:E6:B9	-77	8000394
2014-10-17 12:01:23	18:87:96:64:E6:B9	-62	8000395
2014-10-17 12:01:30	18:87:96:64:E6:B9	-66	8000395
2014-10-17 12:01:37	18:87:96:64:E6:B9	-69	8000393
2014-10-17 12:01:54	18:87:96:64:E6:B9	-64	8000394
2014-10-17 12:02:00	18:87:96:64:E6:B9	-61	8000394
2014-10-17 12:02:06	18:87:96:64:E6:B9	-64	8000394
2014-10-17 12:02:12	18:87:96:64:E6:B9	-67	8000393
2014-10-17 12:02:24	18:87:96:64:E6:B9	-60	8000157
2014-10-17 12:02:31	18:87:96:64:E6:B9	-67	8000393
2014-10-17 12:02:38	18:87:96:64:E6:B9	-62	8000395
2014-10-17 12:02:43	18:87:96:64:E6:B9	-71	8000393
2014-10-17 12:07:49	18:87:96:64:E6:B9	-47	8000395
2014-10-17 12:08:31	18:87:96:64:E6:B9	-76	8000393
2014-10-17 12:09:22	18:87:96:64:E6:B9	-63	8000395
2014-10-17 12:09:27	18:87:96:64:E6:B9	-84	8000393
2014-10-17 12:09:32	18:87:96:64:E6:B9	-79	8000393
2014-10-17 12:09:38	18:87:96:64:E6:B9	-67	8000394
2014-10-17 12:09:46	18:87:96:64:E6:B9	-60	8000157
2014-10-17 12:09:58	18:87:96:64:E6:B9	-73	8000394
2014-10-17 12:10:00	18:87:96:64:E6:B9	-45	8000395
2014-10-17 12:10:08	18:87:96:64:E6:B9	-77	8000394
2014-10-17 12:10:15	18:87:96:64:E6:B9	-69	8000393
2014-10-17 12:16:19	18:87:96:64:E6:B9	-73	8000394
2014-10-17 12:16:19	18:87:96:64:E6:B9	-79	8000393
2014-10-17 12:16:33	18:87:96:64:E6:B9	-80	8000393
2014-10-17 12:17:13	18:87:96:64:E6:B9	-71	8000395
2014-10-17 12:17:27	18:87:96:64:E6:B9	-68	8000394
2014-10-17 12:17:33	18:87:96:64:E6:B9	-55	8000394
2014-10-17 12:17:43	18:87:96:64:E6:B9	-45	8000395
2014-10-17 12:18:03	18:87:96:64:E6:B9	-44	8000395
